rank,name,proj,tag,gs,l4_st,n,sd,lo,hi,l4_all,l8_st,last,d_l4_l8,mid,nst,p90,mx,boom,big,bust,sdev,k_st,k_mx,ip_st,zp90,zbig,ceil
220,"Sears, JP",8.504535537867266,data_driven_thin,6,9.1,4,8.954700813911465,-0.9,18.5,5.2250000000000005,7.583333333333335,2026-08-02,1.5166666666666648,676664,6.0,16.5,18.5,16.666666666666664,0.0,50.0,8.955538323666905,3.6666666666666665,5.0,4.7222333333333335,-0.2085340033304655,-0.6964664501239697,-0.45250022672721757
166,"Abbott, Andrew",9.392062811725872,data_driven_full,24,11.775,4,6.696454285664915,3.5,19.8,11.775,10.15,2026-08-06,1.625,671096,24.0,16.5,20.8,8.333333333333332,0.0,20.833333333333336,7.269466619191276,4.125,8.0,5.3611125,-0.2085340033304655,-0.6964664501239697,-0.45250022672721757
277,"Fedde, Erick",7.774534781399874,data_driven_full,14,9.375,4,5.623388658095758,4.3,16.5,4.2,6.975,2026-08-06,2.4000000000000004,607200,12.0,16.4,20.1,8.333333333333332,0.0,25.0,7.18244387378001,3.5,6.0,4.805558333333333,-0.23465097869940665,-0.6964664501239697,-0.46555871441168817
214,"Buehler, Walker",8.590895869192128,data_driven_full,23,7.949999999999999,4,6.510760324263211,-0.7,14.6,7.949999999999999,3.3374999999999995,2026-08-06,4.6125,621111,23.0,16.240000000000002,20.8,8.695652173913043,0.0,30.434782608695656,8.733385128933493,4.130434782608695,7.0,4.7101434782608695,-0.276438139289711,-0.6964664501239697,-0.48645229470684037
62,"Drohan, Shane",11.554497312977825,data_driven_full,12,14.075,4,4.355360681581569,7.8,17.8,14.075,13.075,2026-07-31,1.0,675660,12.0,15.71,17.8,8.333333333333332,0.0,8.333333333333332,5.285113455965183,5.25,9.0,5.277775,-0.41485810874509743,-0.6964664501239697,-0.5556622794345336
125,"Senga, Kodai",9.957727185916273,data_driven_full,8,0.825,4,5.802513823048306,-4.9,7.2,2.8,1.9375,2026-08-06,-1.1125,673540,8.0,15.629999999999999,17.8,12.5,0.0,62.5,10.905560508291172,4.75,9.0,3.9583375,-0.4357516890402505,-0.6964664501239697,-0.56610906958211
232,"Rodriguez, Grayson",8.4089221136908,data_driven_full,11,6.0,4,11.960211815292682,-5.8,20.1,6.0,3.625,2026-08-04,2.375,680570,11.0,15.5,20.1,9.090909090909092,0.0,54.54545454545454,10.016223204018932,3.8181818181818183,6.0,4.636363636363637,-0.46970375701987327,-0.6964664501239697,-0.5830851035719214
162,"Canning, Griffin",9.447531985464176,data_driven_full,11,3.325,4,5.153882032022076,-2.5,9.4,4.025,7.475,2026-08-05,-4.15,656288,11.0,15.5,15.5,0.0,0.0,36.36363636363637,9.092224450295179,4.636363636363637,7.0,4.575763636363636,-0.46970375701987327,-0.6964664501239697,-0.5830851035719214
195,"Painter, Andrew",8.792603118914698,data_driven_full,14,3.0,4,12.094075684675811,-10.4,15.8,4.025,6.15,2026-08-05,-3.1500000000000004,691725,14.0,15.200000000000003,18.6,7.142857142857142,0.0,50.0,9.967918318505404,3.7857142857142856,8.0,4.642857142857143,-0.5480546831266949,-0.6964664501239697,-0.6222605666253322
245,"Lowder, Rhett",8.247173513277975,data_driven_full,17,5.95,4,15.571448230656005,-17.3,15.8,5.95,6.525,2026-08-05,-0.5750000000000002,695076,17.0,15.14,18.8,5.88235294117647,0.0,29.411764705882355,10.992698111233015,4.117647058823529,8.0,4.823529411764706,-0.5637248683480599,-0.6964664501239697,-0.6300956592360147
343,"Márquez, Germán",6.053694808616001,data_driven_full,10,6.074999999999999,4,5.948879446304713,0.9,14.5,3.6000000000000005,6.475,2026-08-04,-0.4000000000000003,608566,10.0,15.019999999999998,19.7,10.0,0.0,40.0,8.373343949037857,3.3,5.0,4.4,-0.5950652387907895,-0.6964664501239697,-0.6457658444573796
193,"Phillips, Tyler",8.822123849725099,data_driven_full,12,6.15,4,6.2766764028956175,-2.7,11.5,6.15,7.2625,2026-08-01,-1.1124999999999998,663969,12.0,14.93,17.5,8.333333333333332,0.0,25.0,8.355709352764658,3.0,5.0,4.55555,-0.6185705166228358,-0.6964664501239697,-0.6575184833734027
